iter	RMSE
0	74816.9364
1	72549.10957
2	70443.12545
3	68244.96981
4	66133.81134
5	64404.86348
6	62447.37152
7	60811.75691
8	59096.29468
9	57550.51198
10	55954.8214
11	54461.19148
12	53044.01571
13	51810.86347
14	50518.93808
15	49431.63088
16	48262.34546
17	47153.94377
18	46051.28389
19	45037.64576
20	44122.78596
21	43168.18248
22	42292.49672
23	41501.51441
24	40646.09219
25	39790.27102
26	39097.11146
27	38359.28276
28	37611.34159
29	36967.06166
30	36335.26263
31	35710.73085
32	35178.97461
33	34581.84221
34	34062.09723
35	33520.16436
36	32998.35335
37	32520.73185
38	32059.83694
39	31592.04781
40	31130.74562
41	30714.0804
42	30307.84935
43	29932.97312
44	29566.28855
45	29214.25674
46	28880.80369
47	28535.39914
48	28204.9316
49	27896.14559
50	27653.6796
51	27377.79665
52	27063.87623
53	26830.08419
54	26563.22834
55	26354.89351
56	26105.65599
57	25879.60406
58	25636.79717
59	25418.93427
60	25215.27789
61	24995.54744
62	24813.63353
63	24668.4135
64	24516.65888
65	24355.77264
66	24186.43731
67	24039.626
68	23913.22404
69	23764.71578
70	23592.62767
71	23442.6274
72	23261.4782
73	23114.04901
74	22989.99408
75	22879.06799
76	22766.88038
77	22659.44649
78	22555.71217
79	22447.28831
80	22328.95289
81	22186.57014
82	22091.04105
83	21964.54513
84	21878.26957
85	21756.59095
86	21675.67906
87	21561.67663
88	21484.73414
89	21405.8373
90	21326.35723
91	21249.87927
92	21161.67449
93	21074.45283
94	21004.10168
95	20914.20917
96	20846.67843
97	20755.7518
98	20687.04804
99	20616.97057
100	20538.17791
101	20474.93776
102	20393.91749
103	20333.55637
104	20264.39489
105	20192.94952
106	20126.94453
107	20060.22937
108	19994.63488
109	19949.38829
110	19893.68866
111	19838.42587
112	19787.79155
113	19725.28373
114	19666.04633
115	19610.10051
116	19552.54904
117	19503.67155
118	19458.77736
119	19401.76696
120	19341.25814
121	19299.81902
122	19262.75311
123	19203.37572
124	19173.91152
125	19134.10124
126	19096.284
127	19028.35705
128	18971.93861
129	18926.80672
130	18888.98465
131	18839.02196
132	18797.85739
133	18750.23155
134	18709.66236
135	18661.55277
136	18611.01764
137	18570.24299
138	18528.63628
139	18495.79574
140	18460.76888
141	18415.42626
142	18383.73955
143	18354.26319
144	18306.56048
145	18265.85356
146	18232.74202
147	18196.56596
148	18169.31094
149	18150.84773
150	18120.76455
151	18102.5762
152	18064.53155
153	18031.02731
154	17992.57497
155	17964.56323
156	17923.36636
157	17878.35262
158	17840.77707
159	17827.87841
160	17794.81085
161	17772.12587
162	17755.11977
163	17719.72967
164	17681.10442
165	17653.60809
166	17614.51144
167	17595.66819
168	17559.23013
169	17518.38879
170	17490.09714
171	17451.40476
172	17422.91819
173	17391.23065
174	17367.22867
175	17303.46181
176	17268.81578
177	17251.61162
178	17216.80251
179	17205.82654
180	17170.19116
181	17145.11019
182	17112.47942
183	17074.75939
184	17035.50126
185	17000.78159
186	16959.3991
187	16926.58272
188	16897.82468
189	16888.2366
190	16841.38082
191	16816.75651
192	16779.41156
193	16763.10649
194	16740.16775
195	16704.22456
196	16696.74661
197	16675.77005
198	16635.8
199	16598.38125
200	16578.4352
201	16546.61153
202	16515.10208
203	16483.15862
204	16476.48743
205	16452.98894
206	16438.19782
207	16401.16119
208	16370.36144
209	16337.0492
210	16320.09222
211	16302.93964
212	16295.67144
213	16268.81509
214	16234.46872
215	16202.75141
216	16177.51568
217	16153.22649
218	16119.87995
219	16100.6741
220	16074.78002
221	16066.14454
222	16033.66453
223	16027.20852
224	16009.53969
225	15995.74913
226	15969.0714
227	15940.02675
228	15900.15675
229	15891.59106
230	15863.10856
231	15839.10001
232	15797.6551
233	15792.89819
234	15766.84361
235	15718.17573
236	15697.21607
237	15692.09241
238	15686.58326
239	15674.8837
240	15651.22985
241	15613.88804
242	15580.84142
243	15550.43946
244	15546.04779
245	15508.05689
246	15473.59862
247	15468.4547
248	15440.20262
249	15415.71239
250	15383.52677
251	15378.96691
252	15357.9504
253	15320.78953
254	15298.934
255	15276.42936
256	15254.42113
257	15232.30834
258	15205.66123
259	15201.29851
260	15177.97865
261	15154.17108
262	15150.27929
263	15121.48686
264	15092.99073
265	15072.05668
266	15052.24821
267	15022.01649
268	14987.55959
269	14965.79935
270	14962.20193
271	14939.73693
272	14911.54201
273	14884.37755
274	14880.67305
275	14857.41739
276	14841.05299
277	14815.48
278	14792.64161
279	14786.48091
280	14764.03581
281	14743.41514
282	14724.15983
283	14699.56137
284	14680.38678
285	14656.74361
286	14640.55014
287	14637.06271
288	14633.60259
289	14600.90801
290	14578.58124
291	14564.15195
292	14530.67924
293	14522.68607
294	14495.71634
295	14491.58444
296	14481.96856
297	14460.07502
298	14457.74488
299	14432.2761
300	14411.59769
301	14391.15228
302	14369.24888
303	14343.41833
304	14323.59912
305	14315.45463
306	14301.45674
307	14282.84033
308	14279.77997
309	14277.17145
310	14255.02836
311	14232.44592
312	14213.77811
313	14196.84798
314	14188.40304
315	14185.54382
316	14162.58462
317	14130.54845
318	14113.01432
319	14099.14066
320	14096.01578
321	14079.67199
322	14076.68502
323	14059.82395
324	14040.9482
325	14022.98068
326	14006.0696
327	14003.16661
328	13988.76293
329	13964.01457
330	13945.14953
331	13924.4825
332	13907.19246
333	13892.32976
334	13886.4372
335	13879.70192
336	13863.96886
337	13861.7749
338	13839.81669
339	13820.27086
340	13804.14436
341	13786.95101
342	13778.69983
343	13762.98045
344	13735.35578
345	13715.23211
346	13700.97307
347	13686.1765
348	13665.63596
349	13642.62345
350	13640.08288
351	13623.80119
352	13608.35021
353	13585.19642
354	13573.36139
355	13571.47362
356	13565.47241
357	13552.27527
358	13526.74793
359	13506.66986
360	13482.39853
361	13468.31009
362	13456.43359
363	13433.82301
364	13416.19113
365	13391.97604
366	13367.79123
367	13365.60239
368	13351.46129
369	13331.46796
370	13303.52198
371	13301.40908
372	13289.16009
373	13273.18486
374	13271.15376
375	13250.58944
376	13238.31016
377	13228.40986
378	13210.94279
379	13190.35392
380	13167.48525
381	13149.05647
382	13125.06745
383	13108.71126
384	13106.84054
385	13090.58436
386	13073.28219
387	13049.92922
388	13036.24768
389	13013.15608
390	13003.68301
391	12980.15636
392	12964.06531
393	12947.62046
394	12938.80925
395	12922.89054
396	12907.9423
397	12899.18469
398	12874.65796
399	12872.01667
400	12852.98092
401	12829.11543
402	12806.2014
403	12791.70022
404	12774.62902
405	12761.06397
406	12750.25924
407	12739.62377
408	12730.82901
409	12723.14611
410	12707.73389
411	12696.98903
412	12671.37311
413	12669.26468
414	12654.98173
415	12640.44588
416	12628.30604
417	12615.82714
418	12604.58914
419	12602.42721
420	12590.06623
421	12571.07222
422	12562.01164
423	12544.59984
424	12526.9859
425	12508.08127
426	12503.53037
427	12501.71395
428	12499.94274
429	12471.96645
430	12453.0751
431	12439.8896
432	12438.18612
433	12423.91105
434	12422.21097
435	12406.03979
436	12381.05883
437	12369.69457
438	12368.0812
439	12366.49091
440	12357.3962
441	12346.30603
442	12318.16945
443	12303.09666
444	12301.61112
445	12289.36146
446	12281.59807
447	12257.89307
448	12252.27504
449	12239.50304
450	12238.10937
451	12230.66938
452	12229.46074
453	12204.84097
454	12203.39086
455	12201.89851
456	12184.57654
457	12174.48956
458	12158.89104
459	12157.66977
460	12156.43528
461	12144.79763
462	12143.51653
463	12142.43761
464	12128.22315
465	12110.72226
466	12101.81264
467	12080.75024
468	12064.01748
469	12062.80137
470	12052.56166
471	12032.51477
472	12008.42364
473	11995.5759
474	11979.20936
475	11971.32086
476	11954.10749
477	11941.99189
478	11930.3408
479	11919.5901
480	11900.64555
481	11884.19412
482	11865.66405
483	11855.86271
484	11849.24844
485	11834.66753
486	11831.33202
487	11830.00338
488	11816.30494
489	11805.90264
490	11799.53836
491	11798.4713
492	11780.32909
493	11765.87225
494	11753.7736
495	11752.40751
496	11735.0527
497	11710.62667
498	11701.64591
499	11692.35195
500	11684.5638
501	11672.25171
502	11658.09094
503	11646.60486
504	11633.37027
505	11614.72495
506	11597.66849
507	11596.18695
508	11582.18321
509	11572.93393
510	11556.29753
511	11543.69859
512	11531.69589
513	11519.33425
514	11507.11045
515	11497.04656
516	11484.00659
517	11469.06794
518	11459.62597
519	11452.73435
520	11438.68711
521	11420.35163
522	11394.34262
523	11382.21662
524	11376.20945
525	11369.59859
526	11368.64174
527	11350.16043
528	11334.3532
529	11330.35635
530	11315.25761
531	11300.40215
532	11289.78888
533	11278.87786
534	11277.88917
535	11273.58662
536	11263.73377
537	11252.28229
538	11241.70723
539	11229.64041
540	11215.32123
541	11194.25101
542	11179.67882
543	11178.29497
544	11166.82014
545	11165.76756
546	11149.1797
547	11136.63841
548	11128.18477
549	11105.44473
550	11099.05102
551	11097.90519
552	11084.96175
553	11069.97346
554	11063.11318
555	11050.32481
556	11039.65152
557	11027.36233
558	11019.20284
559	11011.49957
560	10998.67986
561	10979.82717
562	10972.50233
563	10966.1267
564	10954.82076
565	10942.39043
566	10930.53015
567	10929.43877
568	10921.41284
569	10906.45774
570	10899.25631
571	10891.92461
572	10877.597
573	10870.42706
574	10869.58125
575	10854.61516
576	10839.0109
577	10838.19399
578	10837.48896
579	10819.77779
580	10810.0198
581	10805.61895
582	10793.60566
583	10780.64715
584	10772.65171
585	10761.34288
586	10751.22297
587	10740.08686
