iter	RMSE
0	74717.8968
1	72398.59812
2	70123.58351
3	68000.65935
4	66019.47356
5	64089.75397
6	62279.44154
7	60544.85581
8	58883.3915
9	57293.58763
10	55737.82731
11	54352.2805
12	52989.62265
13	51596.4098
14	50416.97043
15	49355.14802
16	48193.79157
17	47080.58764
18	46016.21362
19	45134.15223
20	44126.00991
21	43161.46321
22	42334.84364
23	41435.26651
24	40589.70828
25	39752.13936
26	38946.00586
27	38203.27749
28	37632.24293
29	37020.96872
30	36367.91285
31	35801.1014
32	35208.00171
33	34681.40393
34	34102.53059
35	33611.92362
36	33077.67057
37	32581.83509
38	32054.44039
39	31653.30349
40	31201.10154
41	30732.51978
42	30363.31119
43	29959.23659
44	29620.13702
45	29297.46067
46	28941.72356
47	28692.31184
48	28408.34723
49	28120.31844
50	27865.75861
51	27604.03257
52	27329.68321
53	27104.42831
54	26849.84017
55	26640.76908
56	26441.61275
57	26212.65554
58	25994.09522
59	25763.17262
60	25571.2891
61	25394.0824
62	25204.53996
63	24991.22912
64	24823.37977
65	24635.68806
66	24437.55909
67	24282.67253
68	24140.13711
69	23984.06709
70	23853.65975
71	23719.44483
72	23577.93514
73	23431.97607
74	23293.49724
75	23191.16422
76	23080.97464
77	22962.3718
78	22841.0542
79	22738.3736
80	22620.7155
81	22521.5642
82	22414.50441
83	22289.47812
84	22141.96407
85	22035.40324
86	21922.07144
87	21818.48407
88	21721.98961
89	21643.57504
90	21541.67356
91	21469.55885
92	21395.96617
93	21298.12592
94	21206.05493
95	21118.049
96	21026.12999
97	20930.30846
98	20848.70403
99	20779.44432
100	20704.9285
101	20613.50548
102	20532.03533
103	20462.24464
104	20402.51926
105	20339.03496
106	20260.51582
107	20198.17869
108	20133.50266
109	20075.94064
110	20021.00035
111	19938.83526
112	19862.37551
113	19799.86907
114	19736.29894
115	19691.50881
116	19618.89945
117	19561.81236
118	19497.35291
119	19439.48229
120	19384.52469
121	19331.91618
122	19285.89213
123	19225.27555
124	19182.31445
125	19125.36992
126	19081.80925
127	19034.14051
128	18995.93461
129	18953.8219
130	18914.13339
131	18863.8518
132	18825.71046
133	18786.16489
134	18733.50328
135	18673.38142
136	18651.67373
137	18619.57858
138	18572.74698
139	18549.53669
140	18504.61648
141	18470.11228
142	18429.07752
143	18391.89383
144	18356.02569
145	18299.09871
146	18253.9685
147	18217.10428
148	18170.60887
149	18139.73525
150	18090.69275
151	18041.76068
152	17994.51097
153	17971.28362
154	17944.36852
155	17896.45578
156	17849.34358
157	17817.567
158	17785.6451
159	17747.22337
160	17724.86082
161	17696.65613
162	17666.91151
163	17631.50038
164	17602.55135
165	17553.61641
166	17514.3588
167	17480.89996
168	17458.41218
169	17427.63444
170	17392.42145
171	17355.4053
172	17318.67172
173	17279.70429
174	17248.98208
175	17218.634
176	17185.19163
177	17151.54767
178	17131.41772
179	17094.74453
180	17043.68437
181	17032.72214
182	16989.14275
183	16983.78677
184	16971.37234
185	16960.62304
186	16953.16698
187	16925.2109
188	16883.51672
189	16840.29966
190	16809.84304
191	16787.03889
192	16761.68483
193	16745.61814
194	16704.37315
195	16682.53268
196	16654.48425
197	16649.38101
198	16621.93386
199	16581.23217
200	16560.37965
201	16526.1596
202	16487.75708
203	16458.45082
204	16430.54617
205	16401.36964
206	16393.47132
207	16365.48389
208	16331.18982
209	16301.14993
210	16266.98759
211	16219.55355
212	16183.04853
213	16155.02734
214	16148.30196
215	16124.16883
216	16118.5716
217	16105.55712
218	16078.88609
219	16031.50813
220	16002.69823
221	15969.49295
222	15951.12546
223	15943.27978
224	15919.20099
225	15911.00009
226	15905.27119
227	15899.25718
228	15865.66251
229	15836.52332
230	15820.12105
231	15785.96832
232	15761.35088
233	15733.18028
234	15699.85594
235	15679.19035
236	15674.23237
237	15647.22032
238	15643.33632
239	15618.81039
240	15577.86069
241	15545.76314
242	15515.75054
243	15510.30278
244	15485.30055
245	15458.75048
246	15453.30592
247	15425.92327
248	15395.86189
249	15356.45909
250	15331.08351
251	15306.58476
252	15301.15259
253	15276.59472
254	15252.32706
255	15220.46661
256	15196.44857
257	15173.68824
258	15169.20429
259	15148.43604
260	15119.31054
261	15090.26351
262	15055.99782
263	15025.63729
264	15021.82142
265	14985.72481
266	14955.56854
267	14915.91392
268	14893.93808
269	14864.42292
270	14859.93395
271	14834.49872
272	14810.89281
273	14786.86444
274	14779.21271
275	14775.21265
276	14751.00218
277	14726.10691
278	14698.30835
279	14669.8373
280	14641.33955
281	14614.71972
282	14584.85086
283	14568.52176
284	14548.23205
285	14531.89717
286	14528.13746
287	14508.88561
288	14505.23006
289	14478.74318
290	14465.72484
291	14442.78487
292	14417.10938
293	14392.30043
294	14380.10068
295	14362.23203
296	14358.66351
297	14331.33707
298	14307.10061
299	14303.73054
300	14285.25032
301	14267.33528
302	14232.06277
303	14229.06824
304	14200.10184
305	14181.31043
306	14168.67109
307	14149.46142
308	14141.99881
309	14138.72789
310	14115.78904
311	14090.53215
312	14070.34076
313	14041.77261
314	14019.80331
315	13991.60134
316	13985.69364
317	13963.51923
318	13945.60071
319	13930.40336
320	13927.62377
321	13915.70946
322	13894.92119
323	13873.12404
324	13851.57622
325	13849.29264
326	13831.82271
327	13828.93431
328	13809.43619
329	13790.24224
330	13774.0057
331	13750.98861
332	13727.20081
333	13707.38058
334	13705.33947
335	13670.53556
336	13648.29577
337	13634.864
338	13616.41163
339	13614.39111
340	13603.3632
341	13589.92654
342	13566.82303
343	13542.48616
344	13510.61912
345	13490.06406
346	13476.52252
347	13461.71925
348	13444.21088
349	13442.33262
350	13427.22819
351	13416.44944
352	13413.79547
353	13398.945
