iter	Passed	Remaining
0	80	80251
1	84	42112
2	88	29398
3	92	23066
4	96	19221
5	100	16677
6	105	14914
7	109	13576
8	113	12512
9	117	11678
10	122	11027
11	126	10423
12	130	9933
13	135	9539
14	139	9176
15	143	8847
16	147	8554
17	151	8280
18	156	8069
19	160	7864
20	164	7676
21	169	7525
22	173	7364
23	177	7225
24	181	7096
25	186	6989
26	190	6874
27	195	6772
28	198	6660
29	203	6573
30	207	6489
31	211	6400
32	215	6322
33	220	6250
34	224	6180
35	228	6124
36	232	6056
37	237	6000
38	241	5948
39	245	5892
40	249	5835
41	253	5788
42	258	5743
43	262	5709
44	267	5667
45	270	5618
46	275	5586
47	280	5556
48	284	5516
49	288	5483
50	292	5451
51	296	5414
52	301	5379
53	305	5355
54	309	5322
55	314	5293
56	318	5262
57	322	5235
58	326	5211
59	330	5184
60	335	5159
61	339	5134
62	343	5103
63	347	5080
64	351	5057
65	355	5031
66	360	5016
67	364	4994
68	368	4971
69	372	4948
70	376	4924
71	380	4904
72	384	4884
73	389	4874
74	394	4860
75	398	4842
76	402	4822
77	406	4806
78	410	4785
79	414	4765
80	418	4746
81	422	4730
82	426	4714
83	430	4695
84	434	4680
85	439	4667
86	443	4649
87	447	4637
88	451	4625
89	455	4609
90	460	4598
91	464	4587
92	468	4571
93	473	4564
94	477	4550
95	481	4535
96	485	4524
97	490	4511
98	495	4512
99	500	4508
100	507	4514
101	512	4508
102	516	4498
103	521	4493
104	526	4486
105	530	4474
106	535	4469
107	540	4461
108	544	4452
109	549	4442
110	554	4441
111	560	4442
112	564	4431
113	569	4424
114	575	4426
115	579	4416
116	583	4404
117	588	4396
118	592	4387
119	596	4376
120	601	4367
121	605	4360
122	610	4350
123	614	4341
124	618	4327
125	622	4316
126	626	4308
127	630	4297
128	635	4288
129	639	4281
130	643	4270
131	648	4261
132	652	4250
133	656	4241
134	660	4232
135	664	4221
136	668	4213
137	673	4204
138	677	4195
139	681	4187
140	685	4176
141	689	4169
142	694	4161
143	698	4150
144	703	4146
145	707	4138
146	711	4127
147	715	4121
148	720	4115
149	724	4104
150	729	4099
151	733	4091
152	737	4084
153	742	4076
154	746	4071
155	750	4062
156	755	4056
157	760	4050
158	764	4041
159	768	4034
160	772	4025
161	776	4017
162	780	4010
163	784	4000
164	789	3994
165	793	3987
166	797	3980
167	802	3973
168	806	3963
169	810	3955
170	814	3947
171	817	3937
172	822	3929
173	826	3921
174	829	3912
175	833	3904
176	837	3896
177	842	3888
178	846	3883
179	851	3877
180	856	3874
181	860	3865
182	864	3859
183	868	3852
184	872	3842
185	876	3834
186	880	3826
187	884	3818
188	888	3811
189	892	3804
190	896	3797
191	900	3790
192	904	3782
193	908	3775
194	913	3770
195	917	3762
196	921	3756
197	925	3748
198	929	3742
199	933	3735
200	937	3727
201	941	3721
202	945	3713
203	950	3707
204	954	3699
205	957	3691
206	961	3685
207	965	3677
208	970	3671
209	975	3668
210	979	3661
211	983	3655
212	987	3649
213	991	3642
214	996	3637
215	1000	3631
216	1004	3625
217	1008	3618
218	1012	3611
219	1017	3605
220	1021	3600
221	1025	3594
222	1030	3589
223	1033	3581
224	1038	3576
225	1042	3570
226	1046	3564
227	1050	3557
228	1055	3553
229	1059	3545
230	1063	3540
231	1067	3535
232	1072	3529
233	1076	3524
234	1080	3518
235	1085	3512
236	1089	3507
237	1093	3502
238	1097	3494
239	1101	3488
240	1105	3482
241	1110	3478
242	1114	3472
243	1118	3465
244	1122	3460
245	1127	3455
246	1131	3449
247	1136	3445
248	1140	3440
249	1146	3438
250	1150	3432
251	1154	3428
252	1158	3421
253	1163	3415
254	1167	3411
255	1171	3404
256	1176	3400
257	1180	3395
258	1184	3388
259	1189	3384
260	1192	3377
261	1197	3372
262	1201	3366
263	1205	3361
264	1209	3354
265	1213	3349
266	1218	3343
267	1222	3339
268	1226	3333
269	1230	3328
270	1235	3322
271	1238	3316
272	1243	3310
273	1247	3304
274	1251	3298
275	1254	3291
276	1259	3286
277	1263	3281
278	1267	3276
279	1272	3271
280	1276	3267
281	1281	3262
282	1285	3256
283	1289	3250
284	1293	3244
285	1297	3238
286	1301	3232
287	1305	3226
288	1309	3221
289	1313	3215
290	1317	3209
291	1322	3206
292	1326	3200
293	1330	3196
294	1335	3192
295	1339	3186
296	1343	3180
297	1347	3174
298	1351	3169
299	1355	3163
300	1359	3157
301	1363	3151
302	1367	3146
303	1371	3140
304	1376	3135
305	1379	3129
306	1383	3123
307	1388	3119
308	1392	3113
309	1396	3108
310	1400	3103
311	1404	3097
312	1409	3093
313	1413	3087
314	1417	3082
315	1421	3077
316	1425	3071
317	1429	3066
318	1434	3062
319	1438	3056
320	1442	3051
321	1446	3046
322	1450	3040
323	1455	3036
324	1459	3030
325	1463	3026
326	1467	3020
327	1471	3015
328	1476	3010
329	1479	3004
330	1483	2999
331	1487	2993
332	1491	2988
333	1496	2983
334	1499	2976
335	1503	2971
336	1508	2967
337	1512	2961
338	1516	2956
339	1520	2950
340	1524	2945
341	1529	2943
342	1534	2939
343	1538	2933
344	1543	2930
345	1548	2927
346	1552	2921
347	1557	2917
348	1561	2912
349	1565	2907
350	1569	2902
351	1573	2896
352	1578	2892
353	1582	2887
354	1586	2882
355	1591	2878
356	1595	2873
357	1599	2868
358	1603	2863
359	1607	2858
360	1612	2853
361	1616	2849
362	1620	2843
363	1624	2839
364	1629	2834
365	1632	2828
366	1636	2823
367	1641	2818
368	1645	2813
369	1649	2808
370	1653	2803
371	1657	2797
372	1661	2792
373	1664	2786
374	1668	2781
375	1672	2776
376	1677	2771
377	1681	2767
378	1685	2762
379	1690	2757
380	1694	2752
381	1698	2747
382	1702	2742
383	1706	2736
384	1710	2732
385	1714	2726
386	1718	2721
387	1722	2717
388	1726	2712
389	1731	2708
390	1735	2703
391	1739	2698
392	1743	2693
393	1747	2687
394	1751	2683
395	1755	2678
396	1759	2673
397	1764	2668
398	1768	2663
399	1772	2658
400	1777	2655
401	1781	2650
402	1786	2645
403	1790	2641
404	1794	2635
405	1798	2630
406	1801	2624
407	1805	2619
408	1809	2614
409	1813	2609
410	1817	2604
411	1821	2599
412	1826	2595
413	1830	2590
414	1834	2585
415	1838	2580
416	1842	2575
417	1845	2569
418	1849	2565
419	1853	2559
420	1857	2554
421	1861	2549
422	1865	2544
423	1869	2539
424	1872	2533
425	1876	2528
426	1880	2523
427	1884	2518
428	1888	2514
429	1893	2509
430	1896	2504
431	1900	2498
432	1905	2494
433	1908	2489
434	1913	2484
435	1917	2480
436	1921	2475
437	1924	2469
438	1929	2465
439	1932	2460
440	1936	2455
441	1940	2449
442	1944	2444
443	1947	2439
444	1951	2434
445	1955	2429
446	1959	2424
447	1964	2420
448	1967	2414
449	1971	2409
450	1975	2404
451	1979	2399
452	1983	2394
453	1987	2389
454	1990	2384
455	1994	2379
456	1999	2375
457	2004	2371
458	2007	2366
459	2011	2361
460	2016	2357
461	2019	2352
462	2024	2347
463	2027	2342
464	2031	2337
465	2035	2332
466	2039	2327
467	2042	2322
468	2046	2317
469	2051	2313
470	2055	2308
471	2059	2303
472	2063	2299
473	2067	2294
474	2071	2289
475	2075	2285
476	2079	2280
477	2083	2275
478	2087	2270
479	2091	2265
480	2095	2261
481	2099	2256
482	2104	2252
483	2108	2247
484	2112	2242
485	2116	2238
486	2120	2234
487	2125	2229
488	2129	2225
489	2133	2220
490	2137	2215
491	2141	2210
492	2144	2205
493	2148	2201
494	2152	2195
495	2156	2191
496	2160	2186
497	2164	2181
498	2167	2176
499	2172	2172
500	2176	2167
501	2180	2162
502	2184	2158
503	2188	2153
504	2192	2149
505	2196	2144
506	2200	2139
507	2205	2135
508	2208	2130
509	2213	2126
510	2217	2121
511	2221	2117
512	2225	2112
513	2229	2108
514	2233	2103
515	2237	2098
516	2241	2093
517	2245	2089
518	2249	2084
519	2253	2079
520	2257	2075
521	2261	2070
522	2265	2065
523	2268	2060
524	2272	2056
525	2276	2051
526	2280	2047
527	2284	2042
528	2288	2037
529	2292	2033
530	2296	2028
531	2301	2024
532	2306	2020
533	2310	2016
534	2314	2011
535	2319	2007
536	2324	2004
537	2328	1999
538	2332	1995
539	2336	1990
540	2340	1985
541	2344	1981
542	2348	1976
543	2353	1972
544	2357	1968
545	2361	1963
546	2365	1959
547	2369	1954
548	2373	1949
549	2377	1945
550	2381	1940
551	2385	1935
552	2389	1931
553	2393	1926
554	2397	1922
555	2401	1917
556	2405	1913
557	2409	1908
558	2413	1903
559	2417	1899
560	2420	1894
561	2424	1889
562	2428	1884
563	2432	1880
564	2438	1877
565	2442	1873
566	2447	1868
567	2451	1864
568	2455	1860
569	2459	1855
570	2463	1850
571	2467	1846
572	2471	1841
573	2476	1837
574	2480	1833
575	2484	1828
576	2487	1823
